influencer_id,influencer_name,influencer_main_genre,influencer_active_start
74,Special Duties,Pop/Rock,1980
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
335,PJ Harvey,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
441,P.O.D.,Pop/Rock,1990
589,Tony Furtado,Pop/Rock,1980
589,Tony Furtado,Pop/Rock,1980
589,Tony Furtado,Pop/Rock,1980
1097,To_±o Rosario,Latin,1990
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
